run_index,user_id,name,email,role,status,horizon_days,version,generation_id,ai_request_id,provider,model,diet_days_count,workout_days_count,review_after_days,usage_input_tokens,usage_output_tokens,usage_total_tokens,duration_ms,started_at,finished_at,error_type,error_message
1,1,"Test User",test@example.com,client,success,14,7,5f7f6a25-b431-4dfc-b879-1fb0e0bde9ce,202,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1860,2026-04-05T10:44:59+00:00,2026-04-05T10:45:01+00:00,,
2,1,"Test User",test@example.com,client,success,21,8,3c1c17e7-20f8-4e64-9c3d-548afee64b0c,203,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1889,2026-04-05T10:45:01+00:00,2026-04-05T10:45:03+00:00,,
3,1,"Test User",test@example.com,client,success,28,9,c86d6dcd-9033-43b9-948e-618ff9fd5a7e,204,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2072,2026-04-05T10:45:03+00:00,2026-04-05T10:45:05+00:00,,
4,2,"Admin User",admin@hayetak.local,admin,success,14,4,11a2b15a-16c1-40dc-a1c4-7bdbffdf400f,205,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1666,2026-04-05T10:45:05+00:00,2026-04-05T10:45:07+00:00,,
5,2,"Admin User",admin@hayetak.local,admin,success,21,5,c33cade7-d08d-48fa-8f62-dcf2d8102d96,206,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1919,2026-04-05T10:45:07+00:00,2026-04-05T10:45:09+00:00,,
6,2,"Admin User",admin@hayetak.local,admin,success,28,6,b3e35fdf-77e9-4318-8803-a7ef60128937,207,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2145,2026-04-05T10:45:09+00:00,2026-04-05T10:45:11+00:00,,
7,3,"Celine Client",client@hayetak.local,client,success,14,7,83655572-09a5-4ede-959b-0a0f10e05186,208,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1755,2026-04-05T10:45:11+00:00,2026-04-05T10:45:13+00:00,,
8,3,"Celine Client",client@hayetak.local,client,success,21,8,0044eff7-5171-4ba3-bf5e-78daae90a195,209,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1898,2026-04-05T10:45:13+00:00,2026-04-05T10:45:15+00:00,,
9,3,"Celine Client",client@hayetak.local,client,success,28,9,92a7e3e1-b4f5-491f-aa2c-d39a8fc27130,210,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2136,2026-04-05T10:45:15+00:00,2026-04-05T10:45:17+00:00,,
10,4,"Nora Haddad",dietitian1@hayetak.local,nutritionist,success,14,4,f2b6d01a-ef31-4ad4-82c0-aa63ecf5d6ac,211,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1703,2026-04-05T10:45:17+00:00,2026-04-05T10:45:18+00:00,,
11,4,"Nora Haddad",dietitian1@hayetak.local,nutritionist,success,21,5,b0d549c0-477d-4f29-8476-4c41b66ed347,212,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1963,2026-04-05T10:45:18+00:00,2026-04-05T10:45:20+00:00,,
12,4,"Nora Haddad",dietitian1@hayetak.local,nutritionist,success,28,6,837ed98b-19b5-4157-83c2-bd28d7bf0e62,213,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2062,2026-04-05T10:45:20+00:00,2026-04-05T10:45:22+00:00,,
13,5,"Maya Nasser",dietitian2@hayetak.local,nutritionist,success,14,4,5124e5c4-9144-43f3-9f30-0db23f9b7c74,214,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1684,2026-04-05T10:45:22+00:00,2026-04-05T10:45:24+00:00,,
14,5,"Maya Nasser",dietitian2@hayetak.local,nutritionist,success,21,5,100561e6-7d6e-43c8-8884-36a0fd4abd65,215,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1900,2026-04-05T10:45:24+00:00,2026-04-05T10:45:26+00:00,,
15,5,"Maya Nasser",dietitian2@hayetak.local,nutritionist,success,28,6,02f8372a-19b4-40a7-8d9a-ed22f3ed13af,216,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2112,2026-04-05T10:45:26+00:00,2026-04-05T10:45:28+00:00,,
16,6,"Rami Saad",dietitian3@hayetak.local,nutritionist,success,14,4,ad56b258-0ce0-4cbe-b7a9-af961a43c248,217,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1685,2026-04-05T10:45:28+00:00,2026-04-05T10:45:30+00:00,,
17,6,"Rami Saad",dietitian3@hayetak.local,nutritionist,success,21,5,ad305afb-7173-44ca-86e7-998ed3b0f915,218,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1859,2026-04-05T10:45:30+00:00,2026-04-05T10:45:32+00:00,,
18,6,"Rami Saad",dietitian3@hayetak.local,nutritionist,success,28,6,dcf84f77-2f2e-4312-834f-94e8757e0be3,219,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2102,2026-04-05T10:45:32+00:00,2026-04-05T10:45:34+00:00,,
19,7,"Lina Khalil",dietitian4@hayetak.local,nutritionist,success,14,4,76972685-c090-4b41-b4d9-43e907840afa,220,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1735,2026-04-05T10:45:34+00:00,2026-04-05T10:45:35+00:00,,
20,7,"Lina Khalil",dietitian4@hayetak.local,nutritionist,success,21,5,75338cab-14f5-41d2-b51b-3eb63344a146,221,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1869,2026-04-05T10:45:35+00:00,2026-04-05T10:45:37+00:00,,
21,7,"Lina Khalil",dietitian4@hayetak.local,nutritionist,success,28,6,0fe23b60-ce74-47e6-98ca-8315ccb8b674,222,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2140,2026-04-05T10:45:37+00:00,2026-04-05T10:45:39+00:00,,
22,8,"Karim Mansour",dietitian5@hayetak.local,nutritionist,success,14,4,fcbee1e5-00c1-409f-9db7-2e1d0a2b7a7b,223,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1702,2026-04-05T10:45:39+00:00,2026-04-05T10:45:41+00:00,,
